MemberOf,MethodName,ParametersList,-1urnType,TaintedVar
Ljava/util/Scanner,next,,Ljava/lang/String,-1
Ljava/util/Scanner,next,Ljava/lang/String;,Ljava/lang/String,-1
Ljava/util/Scanner,next,Ljava/util/regex/Pattern;,Ljava/lang/String,-1
Ljava/util/Scanner,nextLine,,Ljava/lang/String,-1
Ljava/util/Scanner,nextBoolean,,Z,-1
Ljava/util/Scanner,nextByte,,B,-1
Ljava/util/Scanner,nextByte,I,B,-1
Ljava/util/Scanner,nextShort,,S,-1
Ljava/util/Scanner,nextShort,I,S,-1
Ljava/util/Scanner,nextInt,,I,-1
Ljava/util/Scanner,nextInt,I,I,-1
Ljava/util/Scanner,nextLong,,J,-1
Ljava/util/Scanner,nextLong,I,J,-1
Ljava/util/Scanner,nextFloat,,F,-1
Ljava/util/Scanner,nextDouble,,D,-1
Ljava/util/Scanner,nextBigInteger,,Ljava/math/BigInteger,-1
Ljava/util/Scanner,nextBigInteger,I,Ljava/math/BigInteger,-1
Ljava/util/Scanner,nextBigDecimal,,Ljava/math/BigDecimal,-1
Ljava/util/Scanner,next,,Ljava/lang/Object,-1
