MemberOf,MethodName,ParametersList,Return Type,DangerousRange
Ljava/lang/Runtime,exec,[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,[Ljava/lang/String;[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,[Ljava/lang/String;[Ljava/lang/String;Ljava/io/File;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String[Ljava/lang/String;,Ljava/lang/Process;,1
Ljava/lang/Runtime,exec,Ljava/lang/String[Ljava/lang/String;Ljava/io/File;,Ljava/lang/Process;,1
Ljava/io/File,createNewFile,,Z,1
Ljava/io/File,createTempFile,Ljava/lang/String;Ljava/lang/String;,Ljava/io/File,1
Ljava/io/File,createTempFile,Ljava/lang/String;Ljava/lang/String;Ljava/io/File;,Ljava/io/File,1
Ljava/io/File,delete,,Z,1
Ljava/io/File,deleteOnExit,,V,1
Ljava/io/File,mkdir,,Z,1
Ljava/io/File,mkdirs,,Z,1
Ljava/io/File,renameTo,Ljava/io/File;,Z,1
Ljava/io/File,setExecutable,Z,Z,1
Ljava/io/File,setExecutable,ZZ,Z,1
Ljava/io/File,setLastModified,J,Z,1
Ljava/io/File,setReadable,Z,Z,1
Ljava/io/File,setReadable,ZZ,Z,1
Ljava/io/File,setReadOnly,,Z,1
Ljava/io/File,setWritable,Z,Z,1
Ljava/io/File,setWritable,ZZ,Z,1
Ljava/io/FileOutputStream,<init>,Ljava/io/File;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/io/File;Z,V,1
Ljava/io/FileOutputStream,<init>,Ljava/io/FileDescriptor;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/lang/String;,V,1
Ljava/io/FileOutputStream,<init>,Ljava/lang/String;Z,V,1
Ljava/io/FileOutputStream,open,Ljava/lang/String;Z,V,1
Ljava/io/FileOutputStream,write,[B,V,1
Ljava/io/FileOutputStream,write,[BII,V,1
Ljava/io/FileOutputStream,write,I,V,1
Ljava/io/FileOutputStream,write,IZ,V,1
Ljava/io/FileOutputStream,writeBytes,[BIIZ,V,1
Ljava/io/OutputStream,<init>,,V,1
Ljava/io/OutputStream,write,I,V,1
Ljava/io/OutputStream,write,[B,V,1
Ljava/io/OutputStream,write,[BII,V,1
Ljava/lang/reflect/Method,invoke,Ljava/lang/Object;[Ljava/lang/Object;,Ljava/lang/Object,1
